age group,home team,away team,court number,date and time
Under 11's,MK Netters,Sparks,Court 1,25/04/2026 09:00
Under 12's,MK Netters,Sparks,Court 2,25/04/2026 09:00
Under 13's,MK Netters,Marlow Kites,Court 3,25/04/2026 09:00
Under 14's,Durham,Swan,Court 4,25/04/2026 09:00
Under 11's,Durham,Hatfield,Court 1,25/04/2026 09:10
Under 12's,Durham,Swan,Court 2,25/04/2026 09:10
Under 13's,Durham,Olney Galaxy,Court 3,25/04/2026 09:10
Under 14's,JMs White,Norfolk United,Court 4,25/04/2026 09:10
Under 11's,Market H Wildcats,Norfolk United,Court 1,25/04/2026 09:20
Under 12's,Woodley,Marlow Kites,Court 2,25/04/2026 09:20
Under 13's,AP Saints,Norfolk United,Court 3,25/04/2026 09:20
Under 14's,AP Saints,Lyndon Gems,Court 4,25/04/2026 09:20
Under 11's,Little Sutton Green,Hertford Hornets,Court 1,25/04/2026 09:30
Under 12's,AP Saints,BB Stars,Court 2,25/04/2026 09:30
Under 13's,BB Sparklers,Turnford,Court 3,25/04/2026 09:30
Under 14's,Barr Beacon,Market H Rockets,Court 4,25/04/2026 09:30
Under 11's,Lyndon Centre Sapphires,Turnford,Court 1,25/04/2026 09:40
Under 12's,Little Sutton Ice,Lyndon Corals,Court 2,25/04/2026 09:40
Under 13's,RV Leapers,Lyndon Emeralds,Court 3,25/04/2026 09:40
Under 14's,MK Netters,Swan,Court 4,25/04/2026 09:40
Under 15's,MK Netters,Hatfield,Court 1,25/04/2026 09:50
Under 15's,Durham,Barr Beacon Blaze,Court 2,25/04/2026 09:50
Under 15's,Market H Lunars,Lyndon Crystals,Court 3,25/04/2026 09:50
Under 14's,Durham,Lyndon Gems,Court 4,25/04/2026 09:50
Under 14's,JMs White,Market H Rockets,Court 4,25/04/2026 10:00
Under 11's,Hatfield,MK Netters,Court 1,25/04/2026 10:10
Under 12's,MK Netters,Swan,Court 2,25/04/2026 10:10
Under 13's,MK Netters,Olney Galaxy,Court 3,25/04/2026 10:10
Under 14's,AP Saints,Barr Beacon,Court 4,25/04/2026 10:10
Under 11's,Hertford Hornets,Durham,Court 1,25/04/2026 10:20
Under 12's,BB Stars,Durham,Court 2,25/04/2026 10:20
Under 13's,Durham,Turnford,Court 3,25/04/2026 10:20
Under 14's,MK Netters,Norfolk United,Court 4,25/04/2026 10:20
Under 11's,Turnford,Market H Wildcats,Court 1,25/04/2026 10:30
Under 12's,Lyndon Corals,Woodley,Court 2,25/04/2026 10:30
Under 13's,AP Saints,Lyndon Emeralds,Court 3,25/04/2026 10:30
Under 14's,Swan,Lyndon Gems,Court 4,25/04/2026 10:30
Under 11's,Little Sutton Green,Lyndon Centre Sapphires,Court 1,25/04/2026 10:40
Under 12's,AP Saints,Little Sutton Ice,Court 2,25/04/2026 10:40
Under 13's,BB Sparklers,RV Leapers,Court 3,25/04/2026 10:40
Under 14's,Durham,Barr Beacon,Court 4,25/04/2026 10:40
Under 11's,Sparks,Norfolk United,Court 1,25/04/2026 10:50
Under 12's,Sparks,Marlow Kites,Court 2,25/04/2026 10:50
Under 13's,Marlow Kites,Norfolk United,Court 3,25/04/2026 10:50
Under 14's,JMs White,AP Saints,Court 4,25/04/2026 10:50
Under 15's,Barr Beacon Blaze,MK Netters,Court 1,25/04/2026 11:00
Under 15's,Hatfield,Lyndon Crystals,Court 2,25/04/2026 11:00
Under 15's,Durham,Market H Lunas,Court 3,25/04/2026 11:00
Under 14's,Norfolk United,Market H Rockets,Court 4,25/04/2026 11:00
Under 14's,MK Netters,Lyndon Gems,Court 4,25/04/2026 11:10
Under 11's,Norfolk United,MK Netters,Court 1,25/04/2026 11:20
Under 12's,Marlow Kites,MK Netters,Court 2,25/04/2026 11:20
Under 13's,MK Netters,Norfolk United,Court 3,25/04/2026 11:20
Under 14's,Swan,Barr Beacon,Court 4,25/04/2026 11:20
Under 11's,Hatfield,Hertford,Court 1,25/04/2026 11:30
Under 12's,Swan,BB Stars,Court 2,25/04/2026 11:30
Under 13's,Olney Galaxy,Turnford,Court 3,25/04/2026 11:30
Under 14's,Durham,JMs White,Court 4,25/04/2026 11:30
Under 11's,Turnford,Sparks,Court 1,25/04/2026 11:40
Under 12's,Sparks,Lyndon Corals,Court 2,25/04/2026 11:40
Under 13's,Marlow Kites,Lyndon Emeralds,Court 3,25/04/2026 11:40
Under 14's,AP Saints,Norfolk United,Court 4,25/04/2026 11:40
Under 11's,Lundin Centre Sapphires,Durham,Court 1,25/04/2026 11:50
Under 12's,Durham,Little Sutton Ice,Court 2,25/04/2026 11:50
Under 13's,Durham,RV Leapers,Court 3,25/04/2026 11:50
Under 14's,MK Netters,Market H Rockets,Court 4,25/04/2026 11:50
Under 11's,Market H Wildcats,Little Sutton Green,Court 1,25/04/2026 12:00
Under 12's,Woodley,AP Saints,Court 2,25/04/2026 12:00
Under 13's,AP Saints,BB Sparklers,Court 3,25/04/2026 12:00
Under 14's,Lyndon Gems,Barr Beacon,Court 4,25/04/2026 12:00
Under 15's,Lyndon Crystals,MK Netters,Court 1,25/04/2026 12:10
Under 15's,Barr Beacon Blaze,Market H Lunars,Court 2,25/04/2026 12:10
Under 15's,Hatfield,Durham,Court 3,25/04/2026 12:10
Under 14's,Swan,JMs White,Court 4,25/04/2026 12:10
Under 14's,Durham,Norfolk United,Court 4,25/04/2026 12:20
Under 11's,MK Netters,Hertford Hornets,Court 1,25/04/2026 12:30
Under 12's,MK Netters,BB Stars,Court 2,25/04/2026 12:30
Under 13's,MK Netters,Turnford,Court 3,25/04/2026 12:30
Under 14's,MK Netters,Barr Beacon,Court 4,25/04/2026 12:30
Under 11's,Norfolk United,Turnford,Court 1,25/04/2026 12:40
Under 12's,Marlow Kites,Lyndon Crystals,Court 2,25/04/2026 12:40
Under 13's,Norfolk United,Lyndon Emeralds,Court 3,25/04/2026 12:40
Under 14's,AP Saints,Market H Rockets,Court 4,25/04/2026 12:40
Under 11's,Hatfield,Lyndon Centre Sapphires,Court 1,25/04/2026 12:50
Under 12's,Little Sutton Ice,Swan,Court 2,25/04/2026 12:50
Under 13's,Olney Galaxy,RV Leapers,Court 3,25/04/2026 12:50
Under 14's,Lyndon Gems,JMs White,Court 4,25/04/2026 12:50
