age group,home team,away team,court number,date and time
Under 12's,Magic,Turnford Yellow,Court 1,26/04/2026 09:00
Under 13's,Magic,Hatfield,Court 2,26/04/2026 09:00
Under 14's,Magic,Little Sutton,Court 3,26/04/2026 09:00
Under 15's,MK Dons,Swan,Court 4,26/04/2026 09:00
Under 13's,Blaze Elite,Barr Beacon,Court 2,26/04/2026 09:10
Under 14's,AP Saints,Hatfield,Court 3,26/04/2026 09:10
Under 15's,Magic,Marlow Kites Wildcats,Court 4,26/04/2026 09:10
Under 12's,AP Saints,Little Sutton,Court 1,26/04/2026 09:20
Under 13's,Eagles,Swan,Court 2,26/04/2026 09:20
Under 14's,Turnford Black,Durham,Court 3,26/04/2026 09:20
Under 15's,AP Saints,Durham,Court 4,26/04/2026 09:20
Under 13's,Real Beds,Poole,Court 2,26/04/2026 09:30
Under 14's,Real Beds,Wodson Park,Court 3,26/04/2026 09:30
Under 15's,Blaze Elite,Wodson Park,Court 4,26/04/2026 09:30
Under 12's,Clan,Durham,Court 1,26/04/2026 09:40
Under 13's,MK Dons,Hatfield,Court 2,26/04/2026 09:40
Under 14's,MK Dons,Little Sutton,Court 3,26/04/2026 09:40
Under 15's,Clan,Real Beds,Court 4,26/04/2026 09:40
Under 13's,Magic,Swan,Court 2,26/04/2026 09:50
Under 14's,Magic,Durham,Court 3,26/04/2026 09:50
Under 15's,MK Dons,Marlow Kites Wildcats,Court 4,26/04/2026 09:50
Under 12's,MK Dons,Turnford Yellow,Court 1,26/04/2026 10:00
Under 13's,Blaze Elite,Poole,Court 2,26/04/2026 10:00
Under 14's,AP Saints,Wodson Park,Court 3,26/04/2026 10:00
Under 15's,Swan,Durham,Court 4,26/04/2026 10:00
Under 13's,Eagles,Real Beds,Court 2,26/04/2026 10:10
Under 14's,Turnford Black,Real Beds,Court 3,26/04/2026 10:10
Under 15's,Magic,Wodson Park,Court 4,26/04/2026 10:10
Under 12's,Magic,Durham,Court 1,26/04/2026 10:20
Under 13's,MK Dons,Barr Beacon,Court 2,26/04/2026 10:20
Under 14's,MK Dons,Hatfield,Court 3,26/04/2026 10:20
Under 15's,AP Saints,Real Beds,Court 4,26/04/2026 10:20
Under 13's,Hatfield,Swan,Court 2,26/04/2026 10:30
Under 14's,Little Sutton,Durham,Court 3,26/04/2026 10:30
Under 15's,Blaze Elite,Clan,Court 4,26/04/2026 10:30
Under 12's,AP Saints,Clan,Court 1,26/04/2026 10:40
Under 13's,Magic,Real Beds,Court 2,26/04/2026 10:40
Under 14's,Magic,Real Beds,Court 3,26/04/2026 10:40
Under 15's,MK Dons,Magic,Court 4,26/04/2026 10:40
Under 13's,Blaze Elite,Eagles,Court 2,26/04/2026 10:50
Under 14's,AP Saints,Turnford Black,Court 3,26/04/2026 10:50
Under 15's,Clan,Durham,Court 4,26/04/2026 10:50
Under 12's,Little Sutton,MK Dons,Court 1,26/04/2026 11:00
Under 13's,Barr Beacon,Poole,Court 2,26/04/2026 11:00
Under 14's,Hatfield,Wodson Park,Court 3,26/04/2026 11:00
Under 15's,Real Beds,Marlow Kites Wildcats,Court 4,26/04/2026 11:00
Under 13's,MK Dons,Swan,Court 2,26/04/2026 11:10
Under 14's,MK Dons,Durham,Court 3,26/04/2026 11:10
Under 15's,Blaze Elite,Magic,Court 4,26/04/2026 11:10
Under 12's,Turnford Yellows,Durham,Court 1,26/04/2026 11:20
Under 13's,Hatfield,Real Beds,Court 2,26/04/2026 11:20
Under 14's,Little Sutton,Real Beds,Court 3,26/04/2026 11:20
Under 15's,MK Dons,Durham,Court 4,26/04/2026 11:20
Under 13's,Magic,Blaze Elite,Court 2,26/04/2026 11:30
